Rating Date,Team,Division,Absolute Ranking
29/01/2023 (v6.5),Carolina Hurricanes,MET,4.0
29/01/2023 (v6.5),Chicago Blackhawks,CEN,29.0
29/01/2023 (v6.5),Colorado Avalanche,CEN,12.0
29/01/2023 (v6.5),Columbus Blue Jackets,MET,31.0
29/01/2023 (v6.5),Dallas Stars,CEN,9.0
29/01/2023 (v6.5),Detroit Red Wings,ATL,24.0
29/01/2023 (v6.5),Edmonton Oilers,PAC,6.0
29/01/2023 (v6.5),Florida Panthers,ATL,20.0
29/01/2023 (v6.5),Los Angeles Kings,PAC,13.0
29/01/2023 (v6.5),Minnesota Wild,CEN,15.0
29/01/2023 (v6.5),Montréal Canadiens,ATL,30.0
29/01/2023 (v6.5),Nashville Predators,CEN,19.0
29/01/2023 (v6.5),New Jersey Devils,MET,2.0
29/01/2023 (v6.5),New York Islanders,MET,18.0
29/01/2023 (v6.5),New York Rangers,MET,8.0
29/01/2023 (v6.5),Ottawa Senators,ATL,22.0
29/01/2023 (v6.5),Philadelphia Flyers,MET,23.0
29/01/2023 (v6.5),Pittsburgh Penguins,MET,16.0
29/01/2023 (v6.5),San Jose Sharks,PAC,27.0
29/01/2023 (v6.5),Seattle Kraken,PAC,7.0
29/01/2023 (v6.5),St. Louis Blues,CEN,25.0
29/01/2023 (v6.5),Tampa Bay Lightning,ATL,5.0
29/01/2023 (v6.5),Toronto Maple Leafs,ATL,3.0
29/01/2023 (v6.5),Vancouver Canucks,PAC,26.0
29/01/2023 (v6.5),Vegas Golden Knights,PAC,21.0
29/01/2023 (v6.5),Washington Capitals,MET,14.0
29/01/2023 (v6.5),Winnipeg Jets,CEN,11.0
23/02/2023 (v7.0),Anaheim Ducks,PAC,32.0
23/02/2023 (v7.0),Arizona Coyotes,CEN,27.0
23/02/2023 (v7.0),Boston Bruins,ATL,1.0
23/02/2023 (v7.0),Buffalo Sabres,ATL,23.0
23/02/2023 (v7.0),Calgary Flames,CEN,11.0
23/02/2023 (v7.0),Carolina Hurricanes,MET,2.0
23/02/2023 (v7.0),Chicago Blackhawks,CEN,30.0
23/02/2023 (v7.0),Colorado Avalanche,CEN,18.0
23/02/2023 (v7.0),Columbus Blue Jackets,MET,31.0
