Rating Date,Team,Division,Offensive Rating
27/12/2022 (v6.5),San Jose Sharks,PAC,0.3744897537322659
27/12/2022 (v6.5),Seattle Kraken,PAC,0.5784119903050844
27/12/2022 (v6.5),St. Louis Blues,CEN,0.37299681345453417
27/12/2022 (v6.5),Tampa Bay Lightning,ATL,0.7650847349482957
27/12/2022 (v6.5),Toronto Maple Leafs,ATL,0.6278808738584191
27/12/2022 (v6.5),Vancouver Canucks,PAC,0.6436929901039564
27/12/2022 (v6.5),Vegas Golden Knights,PAC,0.7290116998913735
27/12/2022 (v6.5),Washington Capitals,MET,0.45818259108320153
27/12/2022 (v6.5),Winnipeg Jets,CEN,0.5284955921498655
29/12/2022 (v6.5),Anaheim Ducks,PAC,0.0781007149610618
29/12/2022 (v6.5),Arizona Coyotes,CEN,0.14348322111164202
29/12/2022 (v6.5),Boston Bruins,ATL,0.9353765475105176
29/12/2022 (v6.5),Buffalo Sabres,ATL,0.8681842091490153
29/12/2022 (v6.5),Calgary Flames,CEN,0.5411152559278816
29/12/2022 (v6.5),Carolina Hurricanes,MET,0.5172399735127516
29/12/2022 (v6.5),Chicago Blackhawks,CEN,0.09978309947365899
29/12/2022 (v6.5),Colorado Avalanche,CEN,0.5589207680038041
29/12/2022 (v6.5),Columbus Blue Jackets,MET,0.13634304839290093
29/12/2022 (v6.5),Dallas Stars,CEN,0.791546836393866
29/12/2022 (v6.5),Detroit Red Wings,ATL,0.37465741004993186
29/12/2022 (v6.5),Edmonton Oilers,PAC,0.8200585295707775
29/12/2022 (v6.5),Florida Panthers,ATL,0.6417398347587745
29/12/2022 (v6.5),Los Angeles Kings,PAC,0.6232226754567863
29/12/2022 (v6.5),Minnesota Wild,CEN,0.533696763828135
29/12/2022 (v6.5),Montréal Canadiens,ATL,0.08418580660678131
29/12/2022 (v6.5),Nashville Predators,CEN,0.13853714868243414
29/12/2022 (v6.5),New Jersey Devils,MET,0.6894028499424268
29/12/2022 (v6.5),New York Islanders,MET,0.5086428099751646
29/12/2022 (v6.5),New York Rangers,MET,0.5855398153164746
29/12/2022 (v6.5),Ottawa Senators,ATL,0.6007578871834586
29/12/2022 (v6.5),Philadelphia Flyers,MET,0.10547884925031986
29/12/2022 (v6.5),Pittsburgh Penguins,MET,0.720470565029832
29/12/2022 (v6.5),San Jose Sharks,PAC,0.37312793907833797
29/12/2022 (v6.5),Seattle Kraken,PAC,0.5682179982986248
29/12/2022 (v6.5),St. Louis Blues,CEN,0.4008791226799833
29/12/2022 (v6.5),Tampa Bay Lightning,ATL,0.78609407063187
29/12/2022 (v6.5),Toronto Maple Leafs,ATL,0.6563741607484196
29/12/2022 (v6.5),Vancouver Canucks,PAC,0.6660147844287536
29/12/2022 (v6.5),Vegas Golden Knights,PAC,0.6969947756650079
29/12/2022 (v6.5),Washington Capitals,MET,0.48140641093461944
29/12/2022 (v6.5),Winnipeg Jets,CEN,0.49315521445214583
01/01/2023 (v6.5),Anaheim Ducks,PAC,0.0698080527252604
01/01/2023 (v6.5),Arizona Coyotes,CEN,0.1895131786657434
01/01/2023 (v6.5),Boston Bruins,ATL,0.9365821972838781
01/01/2023 (v6.5),Buffalo Sabres,ATL,0.8584468098405993
01/01/2023 (v6.5),Calgary Flames,CEN,0.5258756098451292
01/01/2023 (v6.5),Carolina Hurricanes,MET,0.5647963427466609
01/01/2023 (v6.5),Chicago Blackhawks,CEN,0.07511812166031817
01/01/2023 (v6.5),Colorado Avalanche,CEN,0.538879244806636
01/01/2023 (v6.5),Columbus Blue Jackets,MET,0.12872506684515195
01/01/2023 (v6.5),Dallas Stars,CEN,0.8329564946412854
01/01/2023 (v6.5),Detroit Red Wings,ATL,0.3707563226803173
01/01/2023 (v6.5),Edmonton Oilers,PAC,0.8266566417708985
01/01/2023 (v6.5),Florida Panthers,ATL,0.6461295536279578
01/01/2023 (v6.5),Los Angeles Kings,PAC,0.6160346784739879
01/01/2023 (v6.5),Minnesota Wild,CEN,0.5025186263887126
01/01/2023 (v6.5),Montréal Canadiens,ATL,0.08118726160616296
01/01/2023 (v6.5),Nashville Predators,CEN,0.18857659814984484
01/01/2023 (v6.5),New Jersey Devils,MET,0.6848773034339026
01/01/2023 (v6.5),New York Islanders,MET,0.4951594380097711
01/01/2023 (v6.5),New York Rangers,MET,0.5952024560536162
01/01/2023 (v6.5),Ottawa Senators,ATL,0.5970068794616925
01/01/2023 (v6.5),Philadelphia Flyers,MET,0.10799264064521948
01/01/2023 (v6.5),Pittsburgh Penguins,MET,0.6622123909992625
01/01/2023 (v6.5),San Jose Sharks,PAC,0.35372908970502803
01/01/2023 (v6.5),Seattle Kraken,PAC,0.548324981847389
01/01/2023 (v6.5),St. Louis Blues,CEN,0.3477265065709493
01/01/2023 (v6.5),Tampa Bay Lightning,ATL,0.8049960935886658
01/01/2023 (v6.5),Toronto Maple Leafs,ATL,0.7102434829342757
01/01/2023 (v6.5),Vancouver Canucks,PAC,0.6045460868423377
01/01/2023 (v6.5),Vegas Golden Knights,PAC,0.7171033282410448
01/01/2023 (v6.5),Washington Capitals,MET,0.5748980167792052
01/01/2023 (v6.5),Winnipeg Jets,CEN,0.5035651492901754
15/01/2023 (v6.5),Anaheim Ducks,PAC,0.061877472672031385
15/01/2023 (v6.5),Arizona Coyotes,CEN,0.11548679498698962
15/01/2023 (v6.5),Boston Bruins,ATL,0.9247163994827206
15/01/2023 (v6.5),Buffalo Sabres,ATL,0.866117301685172
15/01/2023 (v6.5),Calgary Flames,CEN,0.5798241021649099
15/01/2023 (v6.5),Carolina Hurricanes,MET,0.5696899771054108
15/01/2023 (v6.5),Chicago Blackhawks,CEN,0.08523359518907615
15/01/2023 (v6.5),Colorado Avalanche,CEN,0.5224351344588447
15/01/2023 (v6.5),Columbus Blue Jackets,MET,0.08284369914680481
15/01/2023 (v6.5),Dallas Stars,CEN,0.7615694169453152
15/01/2023 (v6.5),Detroit Red Wings,ATL,0.3375131480769234
15/01/2023 (v6.5),Edmonton Oilers,PAC,0.8759817141081556
15/01/2023 (v6.5),Florida Panthers,ATL,0.7036431887077935
15/01/2023 (v6.5),Los Angeles Kings,PAC,0.6831268721894252
15/01/2023 (v6.5),Minnesota Wild,CEN,0.5108767687577154
15/01/2023 (v6.5),Montréal Canadiens,ATL,0.06709946322900354
15/01/2023 (v6.5),Nashville Predators,CEN,0.23964717695136623
15/01/2023 (v6.5),New Jersey Devils,MET,0.7699409334724812
15/01/2023 (v6.5),New York Islanders,MET,0.322561618138132
15/01/2023 (v6.5),New York Rangers,MET,0.6164416532213222
15/01/2023 (v6.5),Ottawa Senators,ATL,0.5663957964946302
15/01/2023 (v6.5),Philadelphia Flyers,MET,0.1866105438365163
