Rating Date,Team,Division,Absolute Ranking
22/1/2022 (v4.5),Winnipeg Jets,CEN,19
29/1/2022 (v4.5),Anaheim Ducks,PAC,17
29/1/2022 (v4.5),Arizona Coyotes,CEN,31
29/1/2022 (v4.5),Boston Bruins,ATL,5
29/1/2022 (v4.5),Buffalo Sabres,ATL,29
29/1/2022 (v4.5),Calgary Flames,CEN,13
29/1/2022 (v4.5),Carolina Hurricanes,MET,1
29/1/2022 (v4.5),Chicago Blackhawks,CEN,26
29/1/2022 (v4.5),Colorado Avalanche,CEN,2
29/1/2022 (v4.5),Columbus Blue Jackets,MET,23
29/1/2022 (v4.5),Dallas Stars,CEN,14
29/1/2022 (v4.5),Detroit Red Wings,ATL,24
29/1/2022 (v4.5),Edmonton Oilers,PAC,15
29/1/2022 (v4.5),Florida Panthers,ATL,3
29/1/2022 (v4.5),Los Angeles Kings,PAC,16
29/1/2022 (v4.5),Minnesota Wild,CEN,9
29/1/2022 (v4.5),Montreal Canadiens,ATL,32
29/1/2022 (v4.5),Nashville Predators,CEN,11
29/1/2022 (v4.5),New Jersey Devils,MET,27
29/1/2022 (v4.5),New York Islanders,MET,20
29/1/2022 (v4.5),New York Rangers,MET,10
29/1/2022 (v4.5),Ottawa Senators,ATL,25
