Forward	Power Play Utilization Corrected	Team
420 Andrew Cogliano	0.1338047206070676	Colorado Avalanche
421 James Hamblin	0.13371515947171153	Edmonton Oilers
422 Austin Watson	0.13371304807468415	Ottawa Senators
423 Pierre-Edouard Bellemare	0.13363960820443319	Tampa Bay Lightning
424 Nic Dowd	0.1335943679546125	Washington Capitals
425 Rasmus Kupari	0.1335815350180639	Los Angeles Kings
426 Joona Koppanen	0.13343605891179972	Boston Bruins
427 William Lockwood	0.13338765632529423	Vancouver Canucks
428 Rasmus Asplund	0.13287213369104925	Buffalo Sabres
429 Nicolas Aube-Kubel	0.13283900715008812	Washington Capitals
430 Morgan Geekie	0.13265130485039367	Seattle Kraken
431 Eric Robinson	0.13260908447485387	Columbus Blue Jackets
432 Derek Grant	0.13253239056559352	Anaheim Ducks
433 Liam Foudy	0.13241719348255068	Columbus Blue Jackets
434 Brock McGinn	0.13239526745463578	Pittsburgh Penguins
435 Garnet Hathaway	0.13235533016102838	Washington Capitals
436 Walker Duehr	0.1322914310701185	Calgary Flames
437 Jayson Megna	0.13223549994268305	Anaheim Ducks
438 Julien Gauthier	0.13216921329276882	New York Rangers
439 Mathieu Olivier	0.1321617048905854	Columbus Blue Jackets
440 Nikita Alexandrov	0.1321068833658994	St. Louis Blues
441 Brett Howden	0.13190663429680885	Vegas Golden Knights
442 Jake Leschyshyn	0.13189622362700407	New York Rangers
443 Mason Appleton	0.13189588268935232	Winnipeg Jets
444 Dylan Gambrell	0.13177309478903143	Ottawa Senators
445 Ross Johnston	0.13160482107492266	New York Islanders
446 Alex Belzile	0.13155802952063603	Montréal Canadiens
447 Wayne Simmonds	0.13147913503161907	Toronto Maple Leafs
448 Michael Pezzetta	0.1314506086162016	Montréal Canadiens
449 Ryan Reaves	0.13125758253305925	Minnesota Wild
450 Luke Philp	0.13124978933424689	Chicago Blackhawks
451 Givani Smith	0.13124478010841423	Florida Panthers
452 Owen Beck	0.13118238199367596	Montréal Canadiens
453 Zack Kassian	0.13098079372787644	Arizona Coyotes
454 Justin Kirkland	0.13081826379795056	Anaheim Ducks
455 Alex Turcotte	0.13079435442306545	Los Angeles Kings
456 Marc McLaughlin	0.13070074511311072	Boston Bruins
457 Sampo Ranta	0.13070074511311072	Colorado Avalanche
458 Darren Helm	0.13070074511311072	Colorado Avalanche
459 Samuel Fagemo	0.13070074511311072	Los Angeles Kings
460 Jonathan Gruden	0.13070074511311072	Pittsburgh Penguins
461 Drew O'Connor	0.13070074511311072	Pittsburgh Penguins
462 John Hayden	0.13070074511311072	Seattle Kraken
