Forward	Power Play Utilization Base	Team
340 Rem Pitlick	0.017439862542955327	Montréal Canadiens
341 Nils Aman	0.017161716171617162	Vancouver Canucks
342 Blake Lizotte	0.017022792022792024	Los Angeles Kings
343 Logan O'Connor	0.017013888888888887	Colorado Avalanche
344 Carl Grundstrom	0.016524216524216526	Los Angeles Kings
345 Jimmy Vesey	0.01649659863945578	New York Rangers
346 Connor Dewar	0.016493055555555556	Minnesota Wild
347 Joe Veleno	0.016426282051282052	Detroit Red Wings
348 Simon Holmstrom	0.01611111111111111	New York Islanders
349 Brett Leason	0.015794573643410855	Anaheim Ducks
350 Yegor Sharangovich	0.014855072463768116	New Jersey Devils
351 Blake Coleman	0.014805825242718446	Calgary Flames
352 Ryan Poehling	0.01476897689768977	Pittsburgh Penguins
353 Teddy Blueger	0.013943894389438943	Pittsburgh Penguins
354 Brandon Tanev	0.013530465949820788	Seattle Kraken
355 Radek Faksa	0.013315217391304349	Dallas Stars
356 Joey Anderson	0.013036303630363037	Toronto Maple Leafs
357 Josh Archibald	0.012871287128712872	Pittsburgh Penguins
358 Cole Smith	0.012794612794612794	Nashville Predators
359 Brendan Lemieux	0.01160968660968661	Los Angeles Kings
360 Morgan Barron	0.011574074074074075	Winnipeg Jets
361 Derek Stepan	0.01056701030927835	Carolina Hurricanes
362 Tyson Jost	0.010545722713864307	Buffalo Sabres
363 Joel Kiviranta	0.010416666666666666	Dallas Stars
364 Zach Aston-Reese	0.009818481848184818	Toronto Maple Leafs
365 Pat Maroon	0.009657320872274144	Tampa Bay Lightning
366 Mark Jankowski	0.009343434343434345	Nashville Predators
367 Nicolas Deslauriers	0.008870967741935484	Philadelphia Flyers
368 David Gustafsson	0.008703703703703703	Winnipeg Jets
369 Luke Glendening	0.008695652173913044	Dallas Stars
370 Yakov Trenin	0.00867003367003367	Nashville Predators
371 Sam Lafferty	0.008531746031746033	Chicago Blackhawks
372 Jack McBain	0.00805243445692884	Arizona Coyotes
373 Michael McLeod	0.007699275362318841	New Jersey Devils
374 Dryden Hunt	0.007552083333333333	Colorado Avalanche
375 Pius Suter	0.007211538461538462	Detroit Red Wings
376 Tomas Nosek	0.007057057057057057	Boston Bruins
377 Matt Martin	0.007037037037037037	New York Islanders
378 Cal Clutterbuck	0.006851851851851852	New York Islanders
379 Michael McCarron	0.006818181818181819	Nashville Predators
380 Ryan Lomberg	0.006739130434782609	Florida Panthers
381 Ondrej Kase	0.006271477663230241	Carolina Hurricanes
382 Colin Blackwell	0.006051587301587301	Chicago Blackhawks
383 Saku Maenalanen	0.0060185185185185185	Winnipeg Jets
384 Ben Meyers	0.005815972222222222	Colorado Avalanche
385 Devin Shore	0.005632716049382717	Edmonton Oilers
386 Jesper Boqvist	0.005615942028985508	New Jersey Devils
387 Jake Evans	0.005584192439862542	Montréal Canadiens
388 Pontus Holmberg	0.005528052805280528	Toronto Maple Leafs
389 Noah Gregor	0.005520833333333333	San Jose Sharks
390 Joe Snively	0.0054783950617283955	Washington Capitals
391 Adam Erne	0.0054487179487179484	Detroit Red Wings
392 Andrew Cogliano	0.0050347222222222225	Colorado Avalanche
393 Sean Kuraly	0.004957805907172996	Columbus Blue Jackets
394 Zac Dalpe	0.004855072463768116	Florida Panthers
395 Chris Tierney	0.004855072463768116	Florida Panthers
396 Jansen Harkins	0.004814814814814815	Winnipeg Jets
397 Zemgus Girgensons	0.004793510324483776	Buffalo Sabres
398 James Hamblin	0.004783950617283951	Edmonton Oilers
399 Anthony Cirelli	0.004750778816199377	Tampa Bay Lightning
400 Liam O'Brien	0.0044943820224719105	Arizona Coyotes
401 Parker Kelly	0.004277286135693215	Ottawa Senators
402 Nic Dowd	0.004166666666666667	Washington Capitals
