Forward	Even Strength Utilization Base	Team
318 Denis Malgin	0.13879928315412188	Colorado Avalanche
319 Mike Hoffman	0.13815656565656567	Montréal Canadiens
320 David Gustafsson	0.13804713804713803	Winnipeg Jets
321 Brendan Gallagher	0.13795454545454544	Montréal Canadiens
322 Evgeny Svechnikov	0.13785714285714284	San Jose Sharks
323 Calle Jarnkrok	0.1372467320261438	Toronto Maple Leafs
324 Sammy Blais	0.1367063492063492	New York Rangers
325 T.J. Oshie	0.13623809523809524	Washington Capitals
326 Isac Lundestrom	0.13469771241830067	Anaheim Ducks
327 Ryan Poehling	0.13436026936026937	Pittsburgh Penguins
328 Austin Watson	0.1337037037037037	Ottawa Senators
329 Jesper Boqvist	0.13341750841750843	New Jersey Devils
330 Saku Maenalanen	0.132020202020202	Winnipeg Jets
331 Nick Schmaltz	0.13132616487455198	Arizona Coyotes
332 Mattias Janmark	0.1312173202614379	Edmonton Oilers
333 Warren Foegele	0.12997549019607843	Edmonton Oilers
334 Cal Clutterbuck	0.12991013071895424	New York Islanders
335 Kasperi Kapanen	0.12984006734006734	Pittsburgh Penguins
336 Joel Armia	0.1296969696969697	Montréal Canadiens
337 Curtis Lazar	0.129609375	Vancouver Canucks
338 Josh Archibald	0.1295707070707071	Pittsburgh Penguins
339 Sonny Milano	0.1269047619047619	Washington Capitals
340 Adam Ruzicka	0.12617647058823528	Calgary Flames
341 Ryan McLeod	0.12515522875816992	Edmonton Oilers
342 Juuso Parssinen	0.12492831541218638	Nashville Predators
343 Ryan Reaves	0.1241077441077441	Minnesota Wild
344 Brett Howden	0.12366666666666666	Vegas Golden Knights
345 Valeri Nichushkin	0.12360215053763442	Colorado Avalanche
346 Mark Kastelic	0.12303872053872054	Ottawa Senators
347 Dylan Holloway	0.11923202614379085	Edmonton Oilers
348 Paul Cotter	0.11769047619047619	Vegas Golden Knights
349 Parker Kelly	0.11717171717171718	Ottawa Senators
350 Reese Johnson	0.1164874551971326	Chicago Blackhawks
351 Derek Stepan	0.11626262626262626	Carolina Hurricanes
352 Brett Ritchie	0.11580882352941177	Calgary Flames
353 Rasmus Asplund	0.11580729166666666	Buffalo Sabres
354 Cody Glass	0.11350358422939069	Nashville Predators
355 Devin Shore	0.11297385620915033	Edmonton Oilers
356 Evander Kane	0.11274509803921569	Edmonton Oilers
357 Morgan Geekie	0.11144965277777777	Seattle Kraken
358 Daniel Sprong	0.11091145833333332	Seattle Kraken
359 Dryden Hunt	0.10850490196078431	Toronto Maple Leafs
360 Jordan Greenway	0.1068097643097643	Minnesota Wild
361 Nathan Bastian	0.10589225589225588	New Jersey Devils
362 A.J. Greer	0.10551215277777778	Boston Bruins
363 Mason Appleton	0.1035016835016835	Winnipeg Jets
364 Jansen Harkins	0.10292087542087543	Winnipeg Jets
365 Vasily Podkolzin	0.102109375	Vancouver Canucks
366 Noah Gregor	0.10132539682539682	San Jose Sharks
367 Michael Amadio	0.10117460317460318	Vegas Golden Knights
