Forward	Plus_Minus Base	Team
429 Sam Carrick	4.866666666666667	Anaheim Ducks
430 CJ Suess	4.833333333333333	San Jose Sharks
431 Brayden Schenn	4.816666666666666	St. Louis Blues
432 Sheldon Dries	4.816666666666666	Vancouver Canucks
433 Sean Kuraly	4.699999999999999	Columbus Blue Jackets
434 Tanner Pearson	4.4833333333333325	Vancouver Canucks
435 Phil Kessel	4.366666666666667	Vegas Golden Knights
436 Brett Leason	4.283333333333333	Anaheim Ducks
437 Owen Tippett	4.183333333333334	Philadelphia Flyers
438 Travis Boyd	4.166666666666668	Arizona Coyotes
439 Ryan Strome	4.116666666666667	Anaheim Ducks
440 Reese Johnson	4.1	Chicago Blackhawks
441 Austin Watson	4.1	Ottawa Senators
442 Mathieu Olivier	4.0166666666666675	Columbus Blue Jackets
443 Mark Kastelic	3.866666666666667	Ottawa Senators
444 Michael Pezzetta	3.8	Montréal Canadiens
445 Barrett Hayton	3.75	Arizona Coyotes
446 Brad Malone	3.6833333333333336	Edmonton Oilers
447 Casey Mittelstadt	3.533333333333333	Buffalo Sabres
448 Milan Lucic	3.3499999999999996	Calgary Flames
449 Oskar Lindblom	3.0500000000000007	San Jose Sharks
450 Dylan Holloway	2.616666666666667	Edmonton Oilers
451 Zack Kassian	2.3166666666666664	Arizona Coyotes
452 Jakob Silfverberg	2.0	Anaheim Ducks
453 Brock Boeser	1.9333333333333336	Vancouver Canucks
454 Jayson Megna	1.916666666666667	Anaheim Ducks
455 Jesse Puljujarvi	1.3666666666666671	Edmonton Oilers
456 Patrick Kane	1.1000000000000014	Chicago Blackhawks
457 Dryden Hunt	1.0666666666666664	Colorado Avalanche
458 Liam Foudy	0.9333333333333336	Columbus Blue Jackets
459 Max Jones	0.7833333333333332	Anaheim Ducks
460 Drake Batherson	0.466666666666665	Ottawa Senators
461 Philipp Kurashev	0.25	Chicago Blackhawks
462 Ryan O'Reilly	-2.6833333333333336	St. Louis Blues
463 Jordan Kyrou	-3.0	St. Louis Blues
