Forward	Penalty Kill Utilization Base	Team
399 Charles Hudon	0.00046078431372549014	Colorado Avalanche
400 Julien Gauthier	0.0004410000000000002	New York Rangers
401 Tomas Tatar	0.000414814814814815	New Jersey Devils
402 Brett Ritchie	0.00039770114942528717	Calgary Flames
403 Givani Smith	0.00036592592592592596	Florida Panthers
404 Tommy Novak	0.0003553030303030302	Nashville Predators
405 Danton Heinen	0.00033518518518518505	Pittsburgh Penguins
406 Jonatan Berggren	0.00031770833333333347	Detroit Red Wings
407 Craig Smith	0.00030952380952380956	Boston Bruins
408 Jonah Gadjovich	0.00030871212121212106	San Jose Sharks
409 Sonny Milano	0.0003066666666666668	Washington Capitals
410 Arthur Kaliyev	0.0003045454545454546	Los Angeles Kings
411 Andre Burakovsky	0.0002997967479674797	Seattle Kraken
412 Juraj Slafkovsky	0.00029545454545454547	Montréal Canadiens
413 Michael Bunting	0.0002849462365591399	Toronto Maple Leafs
414 Cole Perfetti	0.00025333333333333333	Winnipeg Jets
415 Wade Allison	0.00024895833333333345	Philadelphia Flyers
416 Oliver Bjorkstrand	0.00023983739837398377	Seattle Kraken
417 Denis Malgin	0.00023039215686274507	Colorado Avalanche
418 Anton Blidh	0.00023039215686274507	Colorado Avalanche
419 Jason Zucker	0.00016759259259259253	Pittsburgh Penguins
420 Ryan Reaves	0.00016328125000000007	Minnesota Wild
421 Jesse Puljujarvi	0.00014651162790697676	Edmonton Oilers
422 James van Riemsdyk	0.00012447916666666673	Philadelphia Flyers
423 Ross Colton	0.00011206896551724135	Tampa Bay Lightning
424 David Perron	6.35416666666667e-05	Detroit Red Wings
425 Oliver Wahlstrom	5.8680555555555566e-05	New York Islanders
426 Hudson Fasching	5.8680555555555566e-05	New York Islanders
427 Justin Kirkland	0.0	Anaheim Ducks
428 Michael Carcone	0.0	Arizona Coyotes
429 Jakob Pelletier	0.0	Calgary Flames
430 Walker Duehr	0.0	Calgary Flames
431 Max Pacioretty	0.0	Carolina Hurricanes
432 Taylor Raddysh	0.0	Chicago Blackhawks
433 Sampo Ranta	0.0	Colorado Avalanche
434 Jean-Luc Foudy	0.0	Colorado Avalanche
435 Jakub Voracek	0.0	Columbus Blue Jackets
436 Yegor Chinakhov	0.0	Columbus Blue Jackets
437 Emil Bemstrom	0.0	Columbus Blue Jackets
438 Kirill Marchenko	0.0	Columbus Blue Jackets
439 Fredrik Olofsson	0.0	Dallas Stars
440 Matt Luff	0.0	Detroit Red Wings
