Forward	Plus_Minus Corrected	Team
384 Jonathan Gruden	0.17348454170113561	Pittsburgh Penguins
385 Conor Garland	0.17348454170113561	Vancouver Canucks
386 Patric Hornqvist	0.1721681209699935	Florida Panthers
387 Jaret Anderson-Dolan	0.17173107578348437	Los Angeles Kings
388 Danton Heinen	0.16999168761909553	Pittsburgh Penguins
389 Jonas Rondbjerg	0.16955903565070732	Vegas Golden Knights
390 Ryan Lomberg	0.1657045456882295	Florida Panthers
391 Owen Tippett	0.16108924272178426	Philadelphia Flyers
392 Zack MacEwen	0.1586158810426356	Philadelphia Flyers
393 Mikael Granlund	0.1582066633653977	Nashville Predators
394 J.T. Miller	0.1582066633653977	Vancouver Canucks
395 Anton Blidh	0.15657836237136943	Colorado Avalanche
396 Clayton Keller	0.15496373514277498	Arizona Coyotes
397 Brendan Lemieux	0.1545622088703105	Los Angeles Kings
398 Jack McBain	0.15296460150397329	Arizona Coyotes
399 Jack Studnicka	0.15296460150397329	Vancouver Canucks
400 Vladimir Tarasenko	0.15256731996739037	St. Louis Blues
401 Tanner Pearson	0.15256731996739034	Vancouver Canucks
402 Luke Glendening	0.15098664995222552	Dallas Stars
403 MacKenzie Entwistle	0.14981000259545138	Chicago Blackhawks
404 Joel Kiviranta	0.14902977486302438	Dallas Stars
405 Johnny Gaudreau	0.1486409195365205	Columbus Blue Jackets
406 Alexander Holtz	0.14786572156831715	New Jersey Devils
407 Justin Kirkland	0.14594234248534732	Anaheim Ducks
408 Jonah Gadjovich	0.1436617197549231	San Jose Sharks
409 Carl Grundstrom	0.14290813059462376	Los Angeles Kings
410 Cole Sillinger	0.14029648109679144	Columbus Blue Jackets
411 Max Comtois	0.13882211673598582	Anaheim Ducks
412 Eric Robinson	0.13519302333613603	Columbus Blue Jackets
413 William Lockwood	0.1327005380351768	Vancouver Canucks
414 Eric Staal	0.13129380793853485	Florida Panthers
415 Parker Kelly	0.12511945118463827	Ottawa Senators
416 Nick Ritchie	0.12114278505983805	Arizona Coyotes
417 Brock Boeser	0.11320733737394434	Vancouver Canucks
418 Ryan Johansen	0.11167569874943713	Nashville Predators
419 Casey Mittelstadt	0.11076543594482548	Buffalo Sabres
420 Michael Pezzetta	0.10986167505299241	Montréal Canadiens
421 Jake Leschyshyn	0.10896438456670274	New York Rangers
422 Nicolas Deslauriers	0.10866672014633257	Philadelphia Flyers
423 Jason Dickinson	0.10748319322711561	Chicago Blackhawks
424 Oskar Lindblom	0.10543929330573328	San Jose Sharks
425 Colin Blackwell	0.09787392763908392	Chicago Blackhawks
426 Andreas Athanasiou	0.09599310428617495	Chicago Blackhawks
427 Alex DeBrincat	0.09466950239866861	Ottawa Senators
428 Phil Kessel	0.09336226616971019	Vegas Golden Knights
429 Sheldon Dries	0.0910500018287344	Vancouver Canucks
430 Steven Lorentz	0.09079628843582427	San Jose Sharks
431 Reese Johnson	0.09003896276871103	Chicago Blackhawks
